通貨ペア	買い業者	売り業者	買いswap	売りswap	買い+売りswap	100万・100万で両建てした時のswap	spread分を取り戻すまでの日数
AUD/JPY	FXトレード・フィナンシャル(高速FX)	サクソバンクFX(FX CHOICE)	72	-66	6	6.4246707356248	38.333333333333
AUD/JPY	FXトレード・フィナンシャル(高速FX)	サクソバンクFX(スタンダード)	72	-66	6	6.4246707356248	50
AUD/JPY	FXトレード・フィナンシャル(高速FX)	JFX	72	-66	6	6.4246707356248	23.333333333333
AUD/JPY	FXトレード・フィナンシャル(高速FX)	ヒロセ通商(LION FX)	72	-66	6	6.4246707356248	23.333333333333
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	ライブスター証券	0	8	8	6.3080040686626	70
CHF/JPY	マネーパートナーズ(パートナーズFX)	ライブスター証券	0	8	8	6.3080040686626	87.5
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(選べる外貨)	0	8	8	6.3080040686626	80
CHF/JPY	マネーパートナーズ(パートナーズFX)	FXプライム(選べる外貨)	0	8	8	6.3080040686626	97.5
EUR/USD	ライブスター証券	YJFX!(外貨ex)	-2	10	8	5.9044076403035	32.744525
EUR/JPY	DMM FX	みんなのFX	2	6	8	5.9044076403035	15
EUR/USD	DMM FX	YJFX!(外貨ex)	-2	10	8	5.9044076403035	19.3490375
EUR/JPY	FXプライム(選べる外貨)	みんなのFX	2	6	8	5.9044076403035	23.75
EUR/JPY	FXトレード・フィナンシャル(高速FX)	外為オンライン	7	1	8	5.9044076403035	31.25
EUR/JPY	YJFX!(外貨ex)	みんなのFX	2	6	8	5.9044076403035	20
EUR/JPY	FXプライム(直トレFX)	みんなのFX	2	6	8	5.9044076403035	25
USD/JPY	YJFX!(外貨ex)	DMM FX	8	-1	7	5.8788453947645	10
GBP/JPY	FXトレード・フィナンシャル(高速FX)	FXプライム(選べる外貨)	37	-27	10	5.455150480326	28
GBP/JPY	FXトレード・フィナンシャル(高速FX)	FXプライム(直トレFX)	37	-27	10	5.455150480326	29
GBP/JPY	マネーパートナーズ(パートナーズFX nano)	外為オンライン	30	-20	10	5.455150480326	68
GBP/JPY	GMOクリック証券(FXネオ)	FXブロードネット	28	-18	10	5.455150480326	58
AUD/USD	外為オンライン	FXプライム(選べる外貨)	55	-50	5	5.3538922796873	119.071
AUD/JPY	GMOクリック証券(FXネオ)	FXプライム(直トレFX)	52	-47	5	5.3538922796873	46
AUD/JPY	GMOクリック証券(FXネオ)	FXプライム(選べる外貨)	52	-47	5	5.3538922796873	40
AUD/JPY	YJFX!(外貨ex)	FXブロードネット	59	-54	5	5.3538922796873	90
AUD/USD	外為オンライン	FXプライム(直トレFX)	55	-50	5	5.3538922796873	90.49396
CAD/JPY	みんなのFX	FXブロードネット	17	-12	5	5.2642661612971	96
EUR/JPY	FXトレード・フィナンシャル(高速FX)	サクソバンクFX(FX CHOICE)	7	0	7	5.1663566852656	28.571428571429
EUR/JPY	マネーパートナーズ(パートナーズFX)	みんなのFX	1	6	7	5.1663566852656	24.285714285714
EUR/JPY	FXトレード・フィナンシャル(高速FX)	サクソバンクFX(スタンダード)	7	0	7	5.1663566852656	28.571428571429
EUR/JPY	マネーパートナーズ(パートナーズFX nano)	みんなのFX	1	6	7	5.1663566852656	18.571428571429
EUR/JPY	FXトレード・フィナンシャル(高速FX)	FXブロードネット	7	0	7	5.1663566852656	18.571428571429
GBP/JPY	YJFX!(外貨ex)	DMM FX	24	-15	9	4.9096354322934	32.222222222222
GBP/JPY	ライブスター証券	FXブロードネット	27	-18	9	4.9096354322934	90
NZD/JPY	GMOクリック証券(FXネオ)	FXプライム(選べる外貨)	76	-72	4	4.4651827376035	87.5
EUR/JPY	FXトレード・フィナンシャル(高速FX)	マネーパートナーズ(パートナーズFX nano)	7	-1	6	4.4283057302276	20
EUR/JPY	ライブスター証券	GMOクリック証券(FXネオ)	3	3	6	4.4283057302276	41.666666666667
GBP/JPY	GMOクリック証券(FXネオ)	外為オンライン	28	-20	8	4.3641203842608	76.25
AUD/JPY	YJFX!(外貨ex)	GMOクリック証券(FXネオ)	59	-55	4	4.2831138237499	40
AUD/JPY	FXブロードネット	DMM FX	50	-46	4	4.2831138237499	107.5
AUD/JPY	ライブスター証券	マネーパートナーズ(パートナーズFX nano)	62	-58	4	4.2831138237499	105
AUD/JPY	みんなのFX	DMM FX	50	-46	4	4.2831138237499	35
AUD/USD	FXブロードネット	みんなのFX	56	-52	4	4.2831138237499	56.558725
AUD/USD	GMOクリック証券(FXネオ)	みんなのFX	56	-52	4	4.2831138237499	35.7213
USD/JPY	ライブスター証券	DMM FX	6	-1	5	4.1991752819746	24
USD/JPY	FXトレード・フィナンシャル(高速FX)	サクソバンクFX(スタンダード)	18	-13	5	4.1991752819746	24
USD/JPY	FXトレード・フィナンシャル(高速FX)	サクソバンクFX(FX CHOICE)	18	-13	5	4.1991752819746	28
CHF/JPY	YJFX!(外貨ex)	DMM FX	-10	15	5	3.9425025429141	84
GBP/JPY	FXトレード・フィナンシャル(高速FX)	マネーパートナーズ(パートナーズFX nano)	37	-30	7	3.8186053362282	40
GBP/USD	外為オンライン	FXトレード・フィナンシャル(高速FX)	15	-8	7	3.8186053362282	68.040571428571
GBP/USD	FXブロードネット	FXトレード・フィナンシャル(高速FX)	15	-8	7	3.8186053362282	61.236514285714
GBP/JPY	FXトレード・フィナンシャル(高速FX)	ライブスター証券	37	-30	7	3.8186053362282	62.857142857143
GBP/USD	ライブスター証券	FXトレード・フィナンシャル(高速FX)	15	-8	7	3.8186053362282	64.638542857143
EUR/JPY	YJFX!(外貨ex)	GMOクリック証券(FXネオ)	2	3	5	3.6902547751897	32
EUR/USD	YJFX!(外貨ex)	GMOクリック証券(FXネオ)	-11	16	5	3.6902547751897	30.95846
EUR/JPY	FXプライム(直トレFX)	GMOクリック証券(FXネオ)	2	3	5	3.6902547751897	40
EUR/JPY	DMM FX	GMOクリック証券(FXネオ)	2	3	5	3.6902547751897	24
EUR/JPY	FXプライム(選べる外貨)	GMOクリック証券(FXネオ)	2	3	5	3.6902547751897	38
